date,open_price,close_price,high_price,low_price,volume,EMA_5,EMA_20,signal
2023-06-05,182.63,179.58,184.951,178.035,121946497,178.8045397425822,174.6818494315323,0
2023-06-06,179.965,179.21,180.12,177.43,64848374,178.93969316172146,175.1131019844968,0
2023-06-07,178.44,177.82,181.21,177.32,61944615,178.56646210781432,175.3709018592496,1
2023-06-08,177.895,180.57,180.84,177.46,50214881,179.2343080718762,175.86605417391732,-1
2023-06-09,181.5,180.96,182.23,180.63,48899973,179.80953871458414,176.3511919698478,0
2023-06-12,181.27,183.79,183.89,180.97,54754995,181.1363591430561,177.05965000723856,0
2023-06-13,182.8,183.31,184.15,182.44,54929129,181.86090609537072,177.65492153376374,0
2023-06-14,183.37,183.95,184.39,182.02,57462882,182.55727073024715,178.25445290614965,0
2023-06-15,183.96,186.01,186.52,183.78,65433166,183.70818048683145,178.99307653909173,0
2023-06-16,186.73,184.92,186.99,184.27,101256225,184.1121203245543,179.55754550940853,0
2023-06-20,184.41,185.01,186.1,184.41,49799092,184.41141354970287,180.07682694712713,0
2023-06-21,184.9,183.96,185.41,182.5901,49515697,184.26094236646858,180.44665298931795,1
2023-06-22,183.74,187.0,187.045,183.67,51245327,185.17396157764574,181.07078133278202,-1
2023-06-23,185.55,186.68,187.56,185.01,53116996,185.6759743850972,181.60499267835627,0
2023-06-26,186.83,185.27,188.05,185.23,48088661,185.54064959006482,181.95404102067567,1
2023-06-27,185.89,188.06,188.39,185.67,50730846,186.3804330600432,182.53556096261786,-1
2023-06-28,187.93,189.25,189.9,187.6,51216801,187.33695537336212,183.17503138608114,0
2023-06-29,189.08,189.59,190.07,188.94,46347308,188.08797024890808,183.78598081155224,0
2023-06-30,191.63,193.97,194.48,191.26,85213216,190.04864683260539,184.75588744928902,0
2023-07-03,193.78,192.46,193.88,191.76,31458198,190.8524312217369,185.48961248721886,0
2023-07-05,191.565,191.33,192.98,190.62,46920261,191.01162081449127,186.04583989209155,0
2023-07-06,189.84,191.81,192.02,189.2,45156009,191.27774720966082,186.5948075416889,0
2023-07-07,191.41,190.68,192.67,190.24,46814998,191.07849813977387,186.98387350309892,1
2023-07-10,189.26,188.61,189.99,187.035,59922163,190.25566542651595,187.13874269796165,-1
2023-07-11,189.16,188.08,189.3,186.6,46638119,189.5304436176773,187.22838625298854,1
2023-07-12,189.68,189.77,191.7,188.47,60750248,189.61029574511818,187.47044471107483,-1
2023-07-13,190.5,190.54,191.19,189.78,41342338,189.92019716341213,187.7627833165653,0
2023-07-14,190.23,190.69,191.1799,189.63,41616242,190.17679810894143,188.04156586349205,0
2023-07-17,191.9,193.99,194.32,191.81,50520159,191.44786540596093,188.60808341068525,0
2023-07-18,193.35,193.73,194.33,192.415,48353774,192.20857693730727,189.09588499870878,0
2023-07-19,193.1,195.1,198.23,192.65,80507323,193.1723846248715,189.6677054836012,0
2023-07-20,195.09,193.13,196.47,192.495,59581196,193.15825641658103,189.99744782297225,1
2023-07-21,194.1,191.94,194.97,191.23,71951683,192.75217094438736,190.18245279448507,-1
2023-07-24,193.41,192.75,194.91,192.25,45505097,192.75144729625822,190.42698110248932,1
2023-07-25,193.33,193.62,194.44,192.915,37283201,193.04096486417214,190.7310781434047,-1
2023-07-26,193.67,194.5,195.64,193.32,47471868,193.52730990944806,191.090023085393,0
2023-07-27,196.02,193.22,197.2,192.55,47460180,193.42487327296536,191.29287803131072,1
2023-07-28,194.67,195.83,196.626,194.14,48291443,194.2265821819769,191.72498488868902,-1
2023-07-31,196.06,196.45,196.49,195.26,38824113,194.96772145465127,192.17498633089303,0
2023-08-01,196.235,195.605,196.73,195.28,35281426,195.18014763643419,192.5016543013705,0
2023-08-02,195.04,192.58,195.18,191.8507,50389327,194.3134317576228,192.5091157965192,1
2023-08-03,191.57,191.17,192.37,190.69,62243282,193.26562117174853,192.38158095811914,0
2023-08-04,185.52,181.99,187.38,181.92,115956841,189.50708078116568,191.39190657668777,0
2023-08-07,182.13,178.85,183.13,177.35,97576069,185.9547205207771,190.19743927879128,0
2023-08-08,179.69,179.8,180.27,177.58,67823003,183.9031470138514,189.2072069628662,0
2023-08-09,180.87,178.19,180.93,177.01,60378492,181.99876467590093,188.15794915337085,0
2023-08-10,179.48,177.97,180.75,177.6,54686851,180.6558431172673,187.18766827868615,0
2023-08-11,177.32,177.79,178.62,176.55,52036672,179.7005620781782,186.29265224969504,0
2023-08-14,177.97,179.46,179.69,177.305,43675627,179.62037471878546,185.64192346239844,0
2023-08-15,178.88,177.45,179.48,177.05,43622593,178.8969164791903,184.86174027375543,0
2023-08-16,177.13,176.57,178.54,176.5,46964857,178.12127765279354,184.07205072227322,0
2023-08-17,177.14,174.0,177.5054,173.48,66062882,176.7475184351957,183.1128077945832,0
2023-08-18,172.3,174.49,175.1,171.96,61172150,175.9950122901305,182.29158800326024,0
2023-08-21,175.07,175.84,176.13,173.735,46311879,175.94334152675367,181.67715104964634,0
2023-08-22,177.06,177.23,177.68,176.25,42084245,176.37222768450246,181.25361285386663,0
2023-08-23,178.52,181.12,181.55,178.325,52722752,177.95481845633495,181.24088782014942,0
2023-08-24,180.674,176.38,181.104,176.01,54945798,177.42987897088997,180.7779461224776,0
2023-08-25,177.38,178.61,179.15,175.82,51449594,177.82325264726,180.5714750629863,0
2023-08-28,180.09,180.19,180.59,178.545,43820697,178.6121684315067,180.5351441045736,0
2023-08-29,179.695,184.12,184.9,179.5,53003948,180.44811228767114,180.8765589520382,-1
2023-08-30,184.94,187.65,187.85,184.74,60813888,182.8487415251141,181.52164857613425,0
2023-08-31,187.84,187.87,189.12,187.48,60794467,184.52249435007607,182.12625347405285,0
2023-09-01,189.485,189.46,189.92,188.28,45766503,186.16832956671738,182.82470552456905,0
2023-09-05,188.28,189.7,189.98,187.61,45280027,187.34555304447827,183.47949547497143,0
2023-09-06,188.4,182.91,188.85,181.47,81755816,185.8670353629855,183.42525781066138,1
2023-09-07,175.18,177.56,178.21,173.54,112488803,183.09802357532365,182.86666182844127,0
2023-09-08,178.35,178.18,180.239,177.79,65602066,181.4586823835491,182.420313082693,0
2023-09-11,180.07,179.36,180.3,177.34,58953052,180.75912158903273,182.12885469375735,0
2023-09-12,179.49,176.3,180.13,174.82,90370192,179.27274772602183,181.57372567511854,0
2023-09-13,176.51,174.21,177.3,173.98,84267928,177.5851651506812,180.8724184677521,0
2023-09-14,174.0,175.74,176.1,173.58,60895757,176.97011010045412,180.3836167087847,0
2023-09-15,176.48,175.01,176.495,173.82,109259461,176.3167400669694,179.87184368877362,0
2023-09-18,176.48,177.97,179.38,176.17,67257573,176.86782671131292,179.6907157183736,0
